team,winpct_2022,winpct_2018,improvement
Chicago Sky,0.722,0.382,0.33999999999999997
Las Vegas Aces,0.722,0.424,0.298
New York Liberty,0.444,0.206,0.23800000000000002
Connecticut Sun,0.694,0.618,0.07599999999999996
Dallas WIngs,0.5,0.441,0.059
Washington Mystics,0.611,0.636,-0.025000000000000022
Indiana Fever,0.139,0.176,-0.03699999999999998
Minnesota Lynx,0.389,0.529,-0.14
Seattle Storm,0.611,0.765,-0.15400000000000003
Phoenix Mercury,0.417,0.588,-0.17099999999999999
Los Angeles Sparks,0.361,0.559,-0.19800000000000006
Atlanta Dream,0.389,0.676,-0.28700000000000003
